id,portalId,createdAt,type
52161472,62515,2016-04-27,MEETING
52290049,62515,2016-01-22,TASK
52770186,62515,2016-03-03,TASK
52770436,62515,2016-03-03,TASK
52773243,62515,2015-12-29,NOTE
54263013,62515,2016-01-07,CALL
54277663,62515,2016-01-08,TASK
54374227,62515,2016-05-04,EMAIL
54384857,62515,2016-05-04,MEETING
54385657,62515,2016-05-04,CALL
54488523,62515,2016-01-08,TASK
54488623,62515,2016-01-08,TASK
54970236,62515,2016-03-16,PUBLISHING_TASK
55118453,62515,2016-01-12,PUBLISHING_TASK
55458613,62515,2016-01-13,TASK
55675088,62515,2016-01-14,TASK
55675468,62515,2016-01-14,TASK
55675603,62515,2016-01-14,PUBLISHING_TASK
55675688,62515,2016-01-14,TASK
55676898,62515,2016-01-14,TASK
55687083,62515,2016-01-14,TASK
55688888,62515,2016-01-14,TASK
55916768,62515,2016-01-15,TASK
55984906,62515,2016-03-18,NOTE
56233841,62515,2016-03-22,NOTE
56233896,62515,2016-03-22,NOTE
56234456,62515,2016-03-22,NOTE
56897932,62515,2016-05-14,NOTE
56899302,62515,2016-05-14,NOTE
56899307,62515,2016-05-14,NOTE
57003252,62515,2016-05-15,NOTE
57003712,62515,2016-05-15,NOTE
57043338,62515,2016-01-21,TASK
57056806,62515,2016-03-24,EMAIL
57057351,62515,2016-03-24,EMAIL
57058331,62515,2016-03-24,EMAIL
57983242,62515,2016-05-17,PUBLISHING_TASK
58699116,62515,2016-03-29,NOTE
58699206,62515,2016-03-29,EMAIL
60431109,62515,2016-02-20,NOTE
60438464,62515,2016-02-21,NOTE
60438774,62515,2016-02-21,NOTE
60438779,62515,2016-02-21,NOTE
60438894,62515,2016-02-21,NOTE
60438899,62515,2016-02-21,NOTE
60439494,62515,2016-02-21,NOTE
60439509,62515,2016-02-21,NOTE
60439589,62515,2016-02-21,NOTE
60439604,62515,2016-02-21,NOTE
60439724,62515,2016-02-21,NOTE
60439759,62515,2016-02-21,NOTE
60439994,62515,2016-02-21,NOTE
60440004,62515,2016-02-21,NOTE
60454829,62515,2016-02-21,NOTE
60454834,62515,2016-02-21,NOTE
60848019,62515,2016-02-23,NOTE
60980679,62515,2016-02-24,NOTE
60980739,62515,2016-02-24,NOTE
60980764,62515,2016-02-24,NOTE
60984559,62515,2016-02-24,NOTE
60984619,62515,2016-02-24,NOTE
60986924,62515,2016-02-24,NOTE
60987179,62515,2016-02-24,NOTE
61048582,62515,2016-05-24,NOTE
61048782,62515,2016-05-24,NOTE
61079937,62515,2016-05-24,NOTE
61102442,62515,2016-05-24,NOTE
61118207,62515,2016-05-24,NOTE
61118327,62515,2016-05-24,NOTE
61118377,62515,2016-05-24,NOTE
61128702,62515,2016-05-24,NOTE
61132542,62515,2016-05-24,NOTE
61142962,62515,2016-05-24,NOTE
62270752,62515,2016-05-26,CALL
63058619,62515,2016-03-01,NOTE
63136987,62515,2016-05-27,NOTE
63788888,62515,2016-03-01,NOTE
63804228,62515,2016-03-02,NOTE
64386397,62515,2016-05-31,CALL
64533288,62515,2016-03-03,TASK
64768538,62515,2016-03-04,TASK
64843279,62515,2016-03-07,TASK
64843294,62515,2016-03-07,TASK
64857659,62515,2016-03-07,TASK
64858529,62515,2016-03-07,TASK
65146876,62515,2016-05-04,EMAIL
65147201,62515,2016-05-04,CALL
65151641,62515,2016-05-04,CALL
65159876,62515,2016-05-04,NOTE
65293744,62515,2016-03-08,TASK
66111845,62515,2016-05-03,NOTE
66172332,62515,2016-06-03,NOTE
66172377,62515,2016-06-03,NOTE
66173452,62515,2016-06-03,NOTE
66174392,62515,2016-06-03,NOTE
66174402,62515,2016-06-03,NOTE
66176567,62515,2016-06-03,NOTE
66176582,62515,2016-06-03,NOTE
66249902,62515,2016-06-03,NOTE
66514877,62515,2016-06-03,NOTE
66514907,62515,2016-06-03,NOTE
66517857,62515,2016-06-03,NOTE
66748057,62515,2016-06-04,NOTE
66748197,62515,2016-06-04,NOTE
66801577,62515,2016-06-04,NOTE
66807322,62515,2016-06-04,NOTE
66814177,62515,2016-06-04,NOTE
66817477,62515,2016-06-04,NOTE
66864242,62515,2016-06-04,NOTE
66868482,62515,2016-06-04,NOTE
66870872,62515,2016-06-04,NOTE
66902272,62515,2016-06-04,NOTE
66903747,62515,2016-06-04,NOTE
67009458,62515,2016-03-16,EMAIL
67010348,62515,2016-03-16,NOTE
67241452,62515,2016-06-06,EMAIL
67269372,62515,2016-06-06,TASK
67274887,62515,2016-06-06,TASK
67354902,62515,2016-06-07,EMAIL
67389787,62515,2016-06-07,TASK
67389792,62515,2016-06-07,EMAIL
67605564,62515,2016-03-19,NOTE
67606344,62515,2016-03-20,NOTE
67606359,62515,2016-03-20,NOTE
67606364,62515,2016-03-20,NOTE
67607094,62515,2016-03-20,NOTE
67607119,62515,2016-03-20,NOTE
67607124,62515,2016-03-20,NOTE
67608054,62515,2016-03-20,NOTE
67608619,62515,2016-03-20,NOTE
67641314,62515,2016-03-20,NOTE
67641784,62515,2016-03-20,NOTE
67642069,62515,2016-03-20,NOTE
67642079,62515,2016-03-20,NOTE
