createdAt,type,14DayAvg
2017-11-02,NOTE,1.5000
2017-11-06,CALL,1.5000
2017-11-07,MEETING,1.0000
2017-11-07,NOTE,1.3333
2017-11-13,CALL,1.0000
2017-11-16,CALL,1.0000
2017-11-16,NOTE,1.0000
2017-11-20,MEETING,1.0000
2017-11-26,CALL,1.0000
2017-11-26,NOTE,1.5000
2017-11-27,NOTE,2.3333
2017-11-27,TASK,1.0000
2017-11-29,NOTE,2.2500
2017-12-02,PUBLISHING_TASK,1.0000
2017-12-04,CALL,13.5000
2017-12-04,MEETING,1.0000
2017-12-04,NOTE,2.7500
2017-12-04,TASK,1.0000
2017-12-06,MEETING,1.0000
2017-12-08,TASK,1.6667
2017-12-19,CALL,1.0000
2017-12-20,NOTE,1.0000
2017-12-21,CALL,1.0000
2017-12-22,CALL,4.6667
2017-12-22,PUBLISHING_TASK,1.0000
2017-12-23,CALL,4.0000
2017-12-27,CALL,4.6000
2017-12-27,NOTE,1.0000
2017-12-28,EMAIL,2.0000
2017-12-28,NOTE,1.3333
2017-12-30,CALL,4.8333
2018-01-03,CALL,9.3333
2018-01-03,TASK,4.0000
2018-01-04,CALL,20.3333
2018-01-04,TASK,24.5000
2018-01-05,CALL,25.5000
2018-01-05,NOTE,1.3333
2018-01-05,TASK,22.0000
2018-01-06,CALL,39.8333
2018-01-06,TASK,17.0000
2018-01-07,CALL,35.4286
2018-01-09,CALL,39.1250
2018-01-10,CALL,45.2500
2018-01-10,NOTE,1.3333
2018-01-10,TASK,13.8000
2018-01-11,CALL,41.8889
2018-01-11,NOTE,4.3333
2018-01-11,TASK,11.8333
2018-01-12,CALL,38.5000
2018-01-12,NOTE,11.2500
2018-01-13,CALL,40.3000
2018-01-14,CALL,37.0909
2018-01-14,TASK,10.2857
2018-01-15,TASK,9.2500
2018-01-16,CALL,35.8333
2018-01-17,CALL,35.3333
2018-01-18,CALL,34.3333
2018-01-18,TASK,3.7143
2018-01-19,CALL,33.6667
2018-01-20,CALL,27.5833
2018-01-20,NOTE,12.7500
2018-01-21,CALL,27.2500
2018-01-22,CALL,25.2308
2018-01-23,CALL,23.2308
2018-01-23,EMAIL,2.0000
2018-01-24,CALL,22.0000
2018-01-25,CALL,22.2308
2018-01-25,NOTE,13.3333
2018-01-26,CALL,22.3077
2018-01-26,EMAIL,2.0000
2018-01-26,NOTE,3.3333
2018-01-26,TASK,1.2500
2018-01-27,CALL,20.9231
2018-01-30,CALL,22.9167
2018-01-31,CALL,22.2500
2018-01-31,NOTE,2.7500
2018-02-01,CALL,19.1667
2018-02-01,NOTE,2.4000
2018-02-02,CALL,17.7500
2018-02-02,NOTE,2.1667
2018-02-03,CALL,18.4167
2018-02-03,NOTE,1.6667
2018-02-04,NOTE,1.5714
2018-02-05,EMAIL,1.6667
2018-02-06,CALL,20.3000
2018-02-06,NOTE,2.3750
2018-02-07,CALL,19.0000
2018-02-07,NOTE,3.6667
2018-02-08,CALL,21.0000
2018-02-09,CALL,22.0000
2018-02-09,NOTE,4.6250
2018-02-09,PUBLISHING_TASK,4.0000
2018-02-10,CALL,23.4000
2018-02-10,NOTE,5.1111
2018-02-10,TASK,6.0000
2018-02-12,CALL,21.5455
2018-02-12,TASK,3.5000
2018-02-13,CALL,20.4545
2018-02-13,TASK,5.3333
2018-02-14,CALL,20.4545
2018-02-15,CALL,19.2727
2018-02-15,NOTE,6.2500
2018-02-16,CALL,18.6364
2018-02-16,NOTE,9.0000
2018-02-16,TASK,11.7500
2018-02-17,CALL,17.2727
2018-02-17,TASK,14.0000
2018-02-20,CALL,15.9091
2018-02-20,NOTE,10.5000
2018-02-20,TASK,13.8333
2018-02-22,CALL,11.4000
